report_rank,id,opportunity,paid_unit,price_eur,base_units,down_units,up_units,launch_cash_eur,annual_fixed_cash_eur,variable_cash_per_unit,setup_founder_hours,annual_fixed_founder_hours,founder_hours_per_unit,fit,demand,speed,scale,moat_now,moat_potential,source_ids
72,LABEL,Human evaluation operations agency,project,20000,5,1,9,8000,10000,12000,45,90,16,4,3,3,3,2,3,S02;S21;S23
73,UDEMY,New low-price marketplace ML course,net course receipt,15,2000,600,3600,6000,4000,3,170,100,0.02,5,2,3,5,1,1,S01;S05
74,AGENTSDK,Commercial support for a lightweight agent SDK,organization-year,4000,6,1,11,20000,12000,1000,130,110,12,5,2,2,5,1,2,S11;S23
75,MINHOST,Hosted minsearch service,customer-month,99,240,72,432,25000,15000,25,160,120,0.4,5,2,2,5,1,2,S11;S24
76,SKILLDATA,Consented employer skills benchmark,employer-year,8000,6,1,11,15000,12000,2000,100,100,8,4,2,2,5,1,4,S08;S16;S21
77,PMPROGRAM,Technical AI decisions for product managers,learner seat,900,60,18,108,6000,8000,180,65,90,0.7,3,3,3,4,1,2,S13;S20;S23
78,RETRIEVALDATA,Rights-cleared retrieval benchmark kits,commercial benchmark license,2500,12,3,22,8000,6000,400,65,80,5,4,2,2,5,1,3,S01;S11;S23
79,PAIDNEWS,General paid AI newsletter,subscriber-month,12,1500,450,2700,3000,6000,2,60,150,0.02,4,2,4,5,1,1,S06;S07
80,CERT,Standalone AI engineering certification exam,candidate exam,250,250,75,450,20000,15000,75,120,130,0.25,4,2,2,5,1,3,S08;S16;S27
81,EXGEN,Original GitHub exercise generator,team-month,80,180,54,324,12000,8000,20,95,85,0.3,4,2,3,5,1,2,S08;S11;S12
82,COMPLETE,Learner-completion analytics add-on,operator-month,150,180,54,324,15000,10000,35,110,110,0.3,4,2,2,5,1,3,S06;S11;S20
83,TALENTCRM,Cohort-to-employer talent CRM,operator-month,300,96,28,173,25000,15000,60,150,120,0.6,4,2,2,5,1,3,S08;S15;S16
84,RETREAT,Small AI builder retreat,attendee ticket,1400,30,9,54,8000,8000,550,60,110,1,4,3,2,3,2,3,S02;S06;S27
85,RESUMEAPP,AI resume and portfolio generator,subscriber-month,15,1800,540,3240,15000,12000,3,120,100,0.03,4,2,3,5,1,1,S06;S08
86,MATCHSAAS,Mentor-matching software for communities,operator-month,100,180,54,324,18000,10000,20,120,110,0.25,4,2,2,5,1,2,S06;S11
87,ACQUIRE,Acquire a small developer-tool business,customer-month,100,1200,600,1800,100000,18000,20,100,180,0.3,4,2,1,5,2,3,S01;S11
88,MERCH,Community merchandise,net sale before fulfillment,35,500,150,900,3000,2000,23,25,65,0.08,4,2,4,4,1,1,S02
89,SPINOUT,Separate sponsored specialist newsletter,sponsored issue,1000,20,6,36,3000,4000,150,55,100,3,4,2,3,4,1,2,S02;S07
90,NEGOTIATE,Technical offer-negotiation coaching,coaching package,600,40,12,72,2000,3000,100,20,60,2,3,3,4,2,1,2,S08
91,GENRAG,Generic hosted RAG chatbot SaaS,customer-month,99,360,108,648,35000,20000,25,180,160,0.5,4,2,2,5,1,1,S09;S11;S23
92,AUDIO,Audio companion and code walkthrough bundle,bundle purchase,45,400,120,720,4000,2000,8,75,55,0.02,3,2,3,5,1,2,S01;S11
93,VOICE,Paid voice-to-draft writing assistant,subscriber-month,15,1200,360,2160,10000,10000,4,100,95,0.035,3,2,3,5,1,2,S11;S12
94,REDACT,Training-data redaction gateway,team-month,500,72,21,130,30000,18000,100,160,120,1,3,2,2,5,1,3,S18;S23
95,PAYDATA,Consented technical compensation research,employer report,4000,8,2,15,7000,8000,1000,60,100,8,3,2,2,4,1,3,S03;S08;S21
96,CODEEXPLAIN,Standalone code-explanation SaaS,subscriber-month,20,900,270,1620,20000,12000,6,160,120,0.05,4,1,2,5,1,1,S12
97,ANGEL,Angel investing in audience-adjacent startups,cash distribution,0,1,0,1,50000,3000,0,15,60,0,3,2,1,5,1,2,S01
98,EQUITY,Consulting primarily for startup equity,cash-equivalent receipt,0,3,0,3,2000,3000,1000,20,45,70,4,2,2,2,1,2,S01;S09
99,HORROR,AI-generated horror or entertainment channel,"1,000 monetized views",3,1000,300,1800,8000,8000,1,100,130,0.1,2,1,3,5,1,1,S11;S12
100,FITNESS,Consumer AI fitness application,subscriber-month,10,1500,450,2700,25000,18000,3,170,150,0.06,2,1,2,5,1,1,S11;S12
